,제목,평점,장르,줄거리
11,킬러의 보디가드,8,액션,"세상 제일 잘난 맛에 사는 섭외 1순위 앵그리 보디가드가지명수배 1순위 구강 액션 지존 킬러를 보호하게 되면서 벌어지는누가 누구를 지키는 지 모를, 서로 못 죽여서 안달 난브로맨스 제로, 환장 케미의 킬링 액션 블록버스터"
12,노매드랜드,8,드라마,"경제적 붕괴로 도시 전체가 무너진 후 홀로 남겨진 ‘펀’.(프란시스 맥도맨드)추억이 깃든 도시를 떠나 작은 밴과 함께 한 번도 가보지 않은 낯선 길 위의 세상으로 떠난다.그 곳에서 ‘펀’은 각자의 사연을 가진 노매드들을 만나게 되고,광활한 자연과 길 위에서의 삶을 스스로 선택한 그들과 만나고 헤어지며다시 살아가기 위한 여정을 시작하는데…"
13,라야와 마지막 드래곤,9,애니메이션,"인간과 드래곤이 평화롭게 공존하던 신비의 땅, 쿠만드라 왕국살아있는 모든 생명을 삼키는 악의 세력 '드룬'이 들이닥치자,드래곤들은 인간을 구하기 위해 스스로를 희생하고 전설 속으로 사라진다.500년 후 부활한 '드룬'이 또다시 세상을 공포에 빠뜨리자,전사 ‘라야’는 분열된 쿠만드라를 구하기 위해전설 속 마지막 드래곤을 찾아 모험을 떠난다.그러나, ‘라야’는 험난한 여정을 겪으며 세상을 구하기 위해서는전설 속 드래곤보다 더 중요한 것이 있다는 것을 깨닫게 되는데…"
15,겨울왕국 2,8,액션,"어느 날 부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다.트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다.자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…두려움을 깨고 새로운 운명을 만나다!"
16,토이 스토리 4,9,액션,"장난감의 운명을 거부하고 떠난 새 친구 ‘포키’를 찾기 위해 길 위에 나선 ‘우디’는우연히 오랜 친구 ‘보핍’을 만나고 그녀를 통해 새로운 세상에 눈을 뜨게 된다.한편, ‘버즈’와 친구들은 사라진 ‘우디’와 ‘포키’를 찾아 세상 밖 위험천만한 모험을 떠나게 되는데…"
17,알라딘,9,액션,"머나먼 사막 속 신비의 아그라바 왕국의 시대.좀도둑 ‘알라딘’은 마법사 ‘자파’의 의뢰로 마법 램프를 찾아 나섰다가주인에게 세 가지 소원을 들어주는 지니를 만나게 되고,자스민 공주의 마음을 얻으려다 생각도 못했던 모험에 휘말리게 되는데…"
19,룸,9,드라마,"7년 전, 한 남자에게 납치돼 작은 방에 갇히게 된 열일곱 살 소녀 ‘조이’세상과 단절된 채 지옥 같은 나날을 보내던 중, 아들 ‘잭’을 낳고 엄마가 된다감옥 같은 작은 방에서 서로를 의지하며 살아가던 엄마와 아들어느덧 세월은 흘러 잭은 다섯 살 생일을 맞이하게 된다태어나 단 한 번도 방 밖으로 나가 보지 못한 잭을더 이상 좁은 방안에 가둬 둘 수 없다고 생각한 조이는진짜 세상으로의 탈출을 결심한다그러나, 그들의 극적인 탈출과 충격적인 과거 때문에세상은 두 사람을 또다시 보이지 않는 방안에 가두려 하는데…"
20,빅 히어로,9,액션,천재 공학도 ‘테디’가 개발한 힐링로봇 ‘베이맥스’!‘테디’의 동생이자 로봇 전문가인 ‘히로’는 도시가 파괴될 위기에 처하자 ‘베이맥스’를 슈퍼히어로로 업그레이드 하는데…과연 이들은 도시의 위험을 막아낼 수 있을까?
21,국제시장,9,드라마,"1950년대 한국전쟁 이후로부터 현재에 이르기까지 격변의 시대를 관통하며 살아온 우리 시대 아버지 ‘덕수’(황정민 분), 그는 하고 싶은 것도 되고 싶은 것도 많았지만 평생 단 한번도 자신을 위해 살아본 적이 없다. ‘괜찮다’ 웃어 보이고 ‘다행이다’ 눈물 훔치며 힘들었던 그때 그 시절, 오직 가족을 위해 굳세게 살아온 우리들의 아버지 이야기가 지금부터 시작된다."
22,꾸뻬씨의 행복여행,8,액션,"매일 같이 불행하다고 외치는 사람들을 만나는 런던의 정신과 의사 ‘헥터’,과연 진정한 행복이란 뭘까 궁금해진 그는 모든 걸 제쳐두고 훌쩍 행복을 찾기 위한 여행을 떠난다.돈이 행복의 조건이라고 생각하는 상하이의 은행가,가족과 행복하게 살고 싶은 아프리카의 마약 밀매상,생애 마지막 여행을 떠난 말기암 환자,그리고 가슴 속에 간직해둔 LA의 첫사랑까지‘헥터’는 여행지에서 만난 수많은 인연들을 통해 그는 리스트를 완성해 나간다.설레고 흥겹고 즐거운 그리고 때로는 위험천만하기까지 한 여행의 순간들,진정한 행복의 비밀을 찾아 떠난 정신과 의사의 버라이어티한 어드벤처가 시작된다!"
23,컨저링,7,공포/스릴러,"1971년 로드 아일랜드, 해리스빌. 페론 가족은 꿈에 그리던 새 집으로 이사를 간다.물론 1863년에 그 집에서 일어난 끔찍한 살인 사건을 전혀 몰랐다.또한 그 이후에 일어난 많은 무서운 사건에 대해서도 알지 못했다.이 가족은 그 집에서 겪은 일이 너무 무서워서 한 마디라도 외부에 언급하는 것을 거절했었다.지금까지는…[스페셜 영상 1] 영화 속 숨겨진 뒷이야기 (00:08:02)  [스페셜 영상 2] 악마의 생활 (00:15:38)유명한 귀신연구자와 초자연적인것의 전문가 로렌 워렌과 함께하는 여행,그녀가 주최하는 묘지투어와 수천개의 위험한 유물들이 모여있는 악마의 집, 오컬트 셀러를 방문한다   [스페셜 영상 3] 공포와 대면 (00:06:37)그들이 대략 십년 동안 악마의 영혼과 같이 살았던 불가사의한 농가에서 페론 가족들은 되돌아 왔고그들은 그 기억을 떠올릴 때마다 그 공포를 다시 체험한다."
24,코리아,8,드라마,"1991년 대한민국에 탁구 열풍을 몰고 온 최고의 탁구 스타 ‘현정화’(하지원). 번번히 중국에 밀려 아쉬운 은메달에 머물고 말았던 그녀에게 41회 세계선수권대회를 앞두고 남북 단일팀 결성 소식이 들려온다. 금메달에 목마른 정화에겐 청천벽력 같은 결정! 선수와 코치진의 극렬한 반대에도 불구하고 강행된 초유의 남북 단일팀이 결성된다. 순식간에 ‘코리아’라는 이름의 한 팀이 된 남북의 선수들. 연습 방식, 생활 방식, 말투까지 달라도 너무 다른 남북 선수단은 사사건건 부딪히기 시작하고, 양 팀을 대표하는 라이벌 정화와 북한의 ‘리분희’(배두나)의 신경전도 날이 갈수록 심각해진다. 대회는 점점 다가오지만 한 팀으로서의 호흡은커녕 오히려 갈등만 깊어지고, 출전팀 선발은 예상치 못한 정국으로 흘러 가는데…46일간의 뜨거운 도전이 시작된다!"
25,자투라 - 스페이스 어드벤쳐,7,액션,"늘 티격태격하는 대니와 월터 형제는 아빠(팀로빈스)가 출근한 사이 지하실에서 오래된 보드게임 자투라를 발견한다. 성질 더러운 누나 리사가 잠든 사이 몰래 게임을 시작하는 두 형제... 하지만 게임판의 레버를 당기자마자 집은 우박처럼 쏟아져내리는 유성 때문에 만신창이가 되고, 간신히 유성을 피한 대니와 월터가 밖으로 도망치려 문을 여는 순간 눈앞에는 끝없이 광활한 우주가 펼쳐져 있었다... 한순간에 우주로 날아간 두 형제는 게임을 시작한 사람이 끝낼 때까지는 영원히 게임 속 우주에 갇힌다는 사실을 알게 되는데... 과연 대니와 월터는 자투라 카드 때문에 꽁꽁 얼어버린 리사, 영원히 우주를 방황하는 우주비행사, 미쳐버린 파괴 로봇, 그리고 공포의 외계인 조르곤의 공격, 엄청난 크기의 혜성 등 온갖 난관을 이겨내고 무사히 지구로 돌아올 수 있을까?"
26,태극기 휘날리며,9,액션,"가족의 생계를 책임지기 위해 열심히 살아가는 ‘진태’(장동건)는 약혼녀 ‘영신’(이은주)과의 결혼과, 세상에서 가장 소중하게 생각하는 동생 ‘진석’(원빈)의 대학진학을 위해 어려운 상황에서도 씩씩하게 생활을 해나간다.1950년 6월의 어느 날, 한반도에 전쟁이 일어났다는 호회가 배포되고, 두 형제는 평온한 일상에서 갑작스레 전쟁터로 내몰린다. 훈련받을 시간조차 없이 국군 최후의 보루인 낙동강 방어선으로 실전 투입된 ‘진태’와 ‘진석’. 동생과 같은 소대에 배치된 ‘진태’는 아직 학생인 동생의 징집해제를 위해 대대장을 만나게 되고, 동생의 제대를 위해 자신이 해야 할 최선의 것이 무엇인지를 느끼게 된다.그리고 동생의 생존을 위해 총을 들며 영웅이 되기를 자처하게 되고,끝내 생각지도 못한 운명의 덫이 두 형제를 기다리고 있는데…"
27,센과 치히로의 행방불명,9,애니메이션,"금지된 세계의 문이 열렸다! 이사 가던 날, 수상한 터널을 지나자 인간에게는 금지된 신들의 세계로 오게 된 치히로..신들의 음식을 먹은 치히로의 부모님은 돼지로 변해버린다.  “걱정마, 내가 꼭 구해줄게…”겁에 질린 치히로에게 다가온 정체불명의 소년 하쿠.그의 따뜻한 말에 힘을 얻은 치히로는 인간 세계로 돌아가기 위해 사상 초유의 미션을 시작하는데…"
28,사운드 오브 뮤직,9,드라마,"음악을 사랑하는 말괄량이 견습 수녀 ‘마리아’는 원장 수녀의 권유로 해군 명문 집안 폰 트랩가의 가정교사가 된다. ‘마리아’는 좀처럼 마음의 문을 열지 않는 폰 트랩가의 일곱 아이들에게 노래를 가르치며 점차 교감하게 되고, 엄격한 ‘폰 트랩 대령’ 역시 마음의 문을 열게 된다. 그러던 어느 날, ‘마리아’는 자신이 ‘폰 트랩 대령’을 사랑하고 있다는 사실을 깨닫게 되고, 자신만의 비밀을 간직한 채 아이들의 곁을 떠나 다시 수녀원에 들어가기로 결심하는데…"
29,앵거스통스,8,코미디,"아무때나 애정확인을 하시는 부모님, 자신을 고양이라고 생각하는 어린 동생 리비, 얼핏보면 털뭉치 같은 고양이 앵거스와 살고 있는 평범한 여학생 조지아 니콜슨은 런던에서 이사 온 멋진 로비를 보고 남자친구로 만들기 위해 갖가지 핑계를 만들어내며 접근한다. 하지만 이미 왕가슴으로 유명한 여자친구가 있는 로비. 그래도 포기할 수 없는 조지아는 소문난 바람둥이를 찾아가 키스강습도 받고, 엄마가 선물한 연애소설도 활용해 보지만 로비와의 사이는 점점 멀어져만 가는데…"
30,굴뚝마을의 푸펠,9,애니메이션,새까만 연기로 뒤덮인 굴뚝마을에서는1. 하늘을 올려다보지 말 것2. 꿈을 믿지 말 것3. 진실을 알려 하지 말 것별의 존재를 믿고 있는 외톨이 ‘루비치'와쓰레기에서 태어난 ‘푸펠'친구가 된 두 사람이세상의 진실을 찾는 거대한 모험을 시작한다!
31,파이프라인,6,액션,"손만 대면 대박을 터트리는 도유 업계 최고 천공기술자 ‘핀돌이’는수천억의 기름을 빼돌리기 위해 거대한 판을 짠 대기업 후계자 ‘건우’의거부할 수 없는 제안에 빠져 위험천만한 도유 작전에 합류한다.프로 용접공 '접새', 땅 속을 장기판처럼 꿰고 있는 '나과장',괴력의 인간 굴착기 '큰삽', 이 모든 이들을 감시하는 '카운터'까지!그러나 저마다 다른 목적을 가진 이들이 서로를 속고 속이면서계획은 예상치 못한 방향으로 흘러가기 시작하는데...인생 역전을 꿈꾸는 여섯 명의 도유꾼들그들의 막장 팀플레이가 시작된다!"
32,레 미제라블,7,드라마,"“세상에는 나쁜 풀도, 나쁜 사람도 없소.다만 나쁜 농부가 있을 뿐이오.” -  빅토르 위고지방에서 전근 온 경감 스테판은 크리스, 그와다와 같은 순찰팀에 배정받는다. 증오와 불신이 난무하는 몽페르메유에서 스테판은 경찰들의 폭력에 충격을 받고 서커스단 아기 사자 도난사건을 해결하려다 예기치 못한 사건까지 발생하는데…21세기의 ‘레 미제라블’, 끝나지 않은 분노의 노래!"
33,자산어보,9,드라마,"“이 양반은 대역 죄인이니 너무 잘해줄 생각들 말어”순조 1년, 신유박해로 세상의 끝 흑산도로 유배된 ‘정약전’.호기심 많은 '정약전'은 그 곳에서 바다 생물에 매료되어 책을 쓰기로 한다.이에 바다를 훤히 알고 있는 청년 어부 ‘창대’에게 도움을 구하지만‘창대’는 죄인을 도울 수 없다며 단칼에 거절한다.“내가 아는 지식과 너의 물고기 지식을 바꾸자""‘창대’가 혼자 글 공부를 하며 어려움을 겪고 있다는 것을 알게 된 ‘정약전’은 서로의 지식을 거래하자고 제안하고거래라는 말에 ‘창대’는 못 이기는 척 받아들인다.둘은 티격태격하면서도 점차 서로의 스승이자 벗이 되어 간다.""너 공부해서 출세하고 싶지?""그러던 중 '창대'가 출세하기 위해 공부에 매진했다는 사실을 알게 된 '정약전'은 크게 실망한다.‘창대’ 역시 '정약전'과는 길이 다르다는 것을 깨닫고'정약전'의 곁을 떠나 세상 밖으로 나가고자 결심하는데..."
34,웨이 다운,7,액션,"인양 사업을 하는 '월터'는 깊은 바닷속에서 보물 좌표가 새겨진 동전을 발견한다. 하지만 그 자리에서 스페인 정부에게 빼앗기고, 동전이 스페인 은행에 있는 금고로 옮겨진다는 것을 알게 된다.200년 전 최고의 공학자들에 의해 완성된 후 형태를 비롯 어떠한 원리로 작동되는지 알 수 없어 난공불락이라 불리는 스페인 은행의 금고. 해답은 물론 문제조차도 알 수 없는 '월터'는 동전을 되찾기 위해 비상한 두뇌를 지닌 대학생 '톰'을 섭외하고, 금고의 기술적 문제에 대해 순수한 흥미를 느낀 '톰'은 팀에 합류한다.주어진 시간은 월드컵 결승전이 펼쳐지는 105분. '톰'은 19세기 완성된 금고의 비밀을 밝혀 문제가 무엇인지 알아내고, 삼엄한 감시를 피해 리더, 레이더, 인사이더, 픽서, 그리고 해커, 5명의 팀원들과 함께 동전을 되찾아야 한다."
35,드림빌더,8,애니메이션,"자상한 아빠, 귀여운 햄스터 '비고'와 행복한 나날을 보내던 소녀 '미나'는 새로운 가족 ‘제니’의 등장으로평온하던 일상에 변화가 찾아오고 급기야 ‘비고’를 잃을 위기에 처한다.그러던 어느 날 밤, 우연히 꿈속 세상을 발견한 ‘미나’는 그곳에서 마치 영화처럼 꿈을 만드는 드림빌더를 만나게 되고,소중한 반려 햄스터 ‘비고’와 평온한 일상을 되찾기 위해 깜찍한 계획을 세우는데…모두가 잠든 밤,상상하는 모든 것이 이루어지는 꿈의 세계가 펼쳐진다!"
36,세자매,8,드라마,"“언니가 늘 기도하는거 알지?”완벽한 척하는 가식덩어리 둘째 ‘미연’(문소리)“내가 미안하다”괜찮은 척하는 소심덩어리 첫째 ‘희숙’(김선영)“나는 쓰레기야”안 취한 척하는 골칫덩어리 셋째 ‘미옥’(장윤주)각자 아무렇지 않은 척 살아가던 세 자매는 아버지 생일을 맞아 오랜만에 한 자리에 모이는데... 내 부모에게 진정한 사과를 받고 싶었던, 문제적 자매들이 폭발한다!"
37,명탐정 코난: 진홍의 수학여행,7,애니메이션,"초등학생 코난이 아닌, 본래의 모습으로 교토 수학여행에 참가하게 된 고등학생 탐정 쿠도 신이치.평범한 고등학생처럼 모리 란과 행복한 시간을 보내는 것도 잠시,우연히 만난 배우 구라치 케이코의 부탁으로 의문의 암호 해독을 부탁받는다.하지만 곧이어 그녀의 영화 제작 동료들을 둘러싼 연쇄 살인 사건이 일어난다.범죄의 현장에는 요괴의 행적처럼 꾸며진피 묻은 발자국과 팔손이 나뭇잎, 그리고 새로운 암호가 남겨져 있었는데…천년 역사의 도시 교토, 요괴의 소행 같은 기묘한 연쇄 살인 사건의 진실은?!그리고 쿠도 신이치♥모리 란, 두 사람의 마음은 맞닿을 수 있을까?"
38,이웃사촌,6,코미디,백수가장 좌천위기 도청팀장 대권(정우)은 팀원들과 함께 해외에서 입국하자마자 자택 격리된 정치인 가족을 24시간 감시하라는 미션을 받는다. 이웃집으로 위장 이사온 도청팀원들은 라디오 사연 신청부터 한밤중에 나는 부스럭 소리까지 수상한 가족들의 모든 소리와 행동을 감시하면서 새로운 비밀들을 하나씩 발견하게 되는데…담벼락 사이 수상한 이웃사촌들 웃고 울리는 비밀 소통작전이 펼쳐진다!
39,애프터: 그 후,8,멜로,"""너만의 테사는 더 이상 없어!""첫사랑 하딘이 자신과의 연애를 내기에 걸었다는 비밀을 알게 된 '테사'둘은 헤어지지만 서로의 살결과 숨결을 끊지 못하며 아슬아슬한 썸을 이어간다.이후 대학 졸업을 앞둔 취준생 테사는 대형 출판사의 인턴십에 합격하고거친 하딘과는 180도 다른 젠틀한 직장 남사친 '트레버'를 만나게 된다.""테사의 두 번째 남자를 만났다""런던으로 떠나기 전에 테사를 향한 진심을 전하고 싶었던 '하딘'테사의 용서를 기다리며 과거의 잘못을 하나씩 고쳐나간다.워크숍 파티에서 취한 테사의 연락에 하딘은 기대 반, 걱정 반 마음으로결국 테사의 호텔 룸에 찾아가고, 샤워실에서 그녀석 '트레버'와 마주치는데…"
40,뮬란,4,액션,"무예에 남다른 재능을 지닌 ‘뮬란’은좋은 집안과 인연을 맺어 가문을 빛내길 바라는부모님의 뜻에 따라 본연의 모습을 억누르고 성장한다.어느 날, 북쪽 오랑캐들이 침입하자 황제는 징집령을 내리고‘뮬란’은 아픈 아버지를 대신해 가족들 몰래 전장에 나가기로 결심한다.여자라는 게 발각되면 목숨을 잃을 수도 있는 상황 속에서‘뮬란’은 타고난 용기와 지혜로 역경을 이겨내며 전사로 성장한다.마침내 잔인무도한 적장 ‘보리 칸’과 마녀 ‘시아니앙’을 마주하게 된 ‘뮬란’.그녀는 위험에 빠진 동료와 가족을 구하고 진정한 전사로 거듭날 수 있을 것인가"
41,테넷,8,액션,시간의 흐름을 뒤집는 인버전을 통해 현재와 미래를 오가며 세상을 파괴하려는 사토르(케네스 브래너)를 막기 위해 투입된 작전의 주도자(존 데이비드 워싱턴). 인버전에 대한 정보를 가진 닐(로버트 패틴슨)과 미술품 감정사이자 사토르에 대한 복수심이 가득한 그의 아내 캣(엘리자베스 데비키)과 협력해 미래의 공격에 맞서 제3차 세계대전을 막아야 한다!
42,"안녕, 미누",9,다큐멘터리,"고향집 뒷산 히말라야는 몰라도 ‘목포의 눈물’이 애창곡인 네팔사람 ‘미누’. 스무 살에 한국에 와 식당일부터 봉제공장 재단사, 밴드 보컬까지 18년.한국을 누구보다 사랑하며 청춘을 바쳤지만 11년 전 강제 추방당했다.네팔로 돌아가 어엿한 사업가로 성장하고도 한국이 사무치게 그립다.그런 미누를 위해 옛 밴드 멤버들이 네팔에 날아와 함께 무대에 선다.눈에는 눈물이 맺히고, 마이크를 잡은 목장갑 손이 한없이 떨리는 미누.꿈만 같던 공연이 끝나고 미누는 “나 이제 죽어도 좋아”라며 환히 웃는데…"
43,카페 벨에포크,8,코미디,행복했던 그때 그 모든 것이 그리워진 ‘빅토르’는100% 고객 맞춤형 핸드메이드 시간여행의 설계자 ‘앙투안’의 초대로하룻밤의 시간여행을 떠난다그의 눈 앞에 마법처럼 펼쳐진 ‘카페 벨에포크’에서‘빅토르’는 꿈에 그리던 첫사랑과 재회하게 되는데...
44,레미제라블: 뮤지컬 콘서트,9,공연실황,"빵 한 조각을 훔친 죄로 19년 간의 감옥살이를 마친 후에도 전과자의 낙인이 찍힌 채 살아가는 장발장.장발장을 끈질기게 추격하며 그의 새로운 삶을 뒤흔드는 자베르 경감.주변 사람들의 모함으로 지독한 가난 속에서 아이를 위해 생존해가는 비운의 여인 판틴.장발장에게 희망이 되어 준 판틴의 딸 코제트.그리고 파리의 자유와 사랑을 위해 싸우는 마리우스, 에포닌, 앙졸라.사랑과 용서, 구원과 희망을 꿈꾸는 그들의 노래가스크린에 울려 퍼진다!"
45,공수도,8,액션,공수도장을 운영하는 아빠로부터 공수도를 배워온 소녀 ‘채영’이 홀어머니를 모시고 사는 순수하고 정의로운 소년 ‘종구’와 일진의 생활에 염증을 느끼고 새로운 시작을 위해 애쓰는 ‘해성’을 만나 공수도를 통해 함께 성장해가는 청춘 액션물
46,인비저블맨,7,공포/스릴러,"모든 것을 통제하려는 소시오패스 남자에게서 도망친 세실리아그의 자살 소식과 함께 상속받게 된 거액의 유산하지만 그날 이후, 누구에게도 보이지 않는 존재가 느껴지기 시작했다!"
47,닥터 두리틀,6,코미디,"동물들과 소통하는 특별한 능력을 지닌 닥터 두리틀(로버트 다우니 주니어)은 사랑하는 사람을 잃고 세상과 단절한 채 동물들과 친구가 되어 살아간다.어느 날, 여왕에게 알 수 없는 불치병이 생기고 왕국마저 위험에 빠지게 되자, 그의 놀라운 능력만이 모든 것을 해결할 수 있음을 알게 된다.세상을 구하기 위해서는 반드시 주어진 시간 안에 누구도 가보지 못했던 신비의 섬을 찾아내야만 하고,두리틀은 친구들과 함께 위험천만한 모험을 떠나게 되는데…"
48,"미안해요, 리키",9,드라마,"넉넉하지는 않지만 누구보다 행복한 가장 리키,안정적인 생활을 꿈꾸며 택배 회사에 취직하지만생각과는 다른 일상이 전개되고, 화목했던 가족은 뜻밖의 난관에 부딪히는데.. 성실하게 행복을 찾고 싶었던 리키의, 우리의 이야기가 찾아온다."
49,나이브스 아웃,9,공포/스릴러,베스트셀러 미스터리 작가가 85세 생일에 숨진 채 발견된다. 그의 죽음의 원인을 파헤치기 위해 경찰과 함께 탐정 브누아 블랑이 파견 되는데…
50,너의 여자친구,8,코미디,"눈만 마주쳐도 설레는 썸이 시작되는 대학교 축제날.자칭 공대 브레인 어벤져스, 현실은 모태솔로 9888일째 3인방의 로봇 동아리는 썰렁하기만 하고…이때 어딘가 허술하고 소심한 ‘휘소’ 앞에 난데없이 들이닥친 직진녀 ‘혜진’.글로 배우고 너튜브로 배운 연애세포들이여, 드디어 때가 왔다!올겨울엔 솔로 탈출, 할 수 있을까?"
